,winloss,playerId,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,totalDamageDealt,totalDamageTaken,longestTimeSpentLiving,totalDamageDealtToChampions,totalTimeCrowdControlDealt,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,77,4,6,25,13749,0,2,51,176383,46065,1083,19264,220,False,True,True,True,True,True
1,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,64,7,6,5,11026,0,0,34,121194,25741,447,14573,448,True,True,False,False,False,False
2,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,60,4,4,5,6994,0,0,25,72246,15464,581,7034,96,True,True,False,False,True,False
3,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,876,15,4,18,18794,0,0,46,286171,43205,1158,33705,480,True,False,False,True,False,False
4,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,18,11,4,7,11763,0,1,26,128632,13206,507,16645,68,True,True,True,True,False,False
5,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,64,15,5,13,15021,1,2,35,122368,30480,648,31830,224,False,True,False,True,True,True
6,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,64,8,4,9,10340,0,0,30,125636,22119,663,13278,512,True,True,True,True,True,False
7,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,64,14,0,7,10635,0,2,13,66301,6924,0,13524,147,False,True,False,False,True,False
8,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,876,12,3,18,14856,0,0,42,171365,33800,731,19006,326,False,True,True,True,True,True
9,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,9,3,4,11,9914,0,0,46,169986,28416,978,11854,967,True,True,False,True,True,False
10,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,120,10,9,7,11636,0,0,31,145146,42945,403,21291,290,False,False,False,False,True,False
11,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,421,13,5,8,13200,1,1,40,167385,29157,455,16451,303,True,False,True,True,True,False
12,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,120,6,1,4,8721,0,0,20,120695,23631,1039,8408,235,False,True,False,False,False,True
13,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,9,7,5,5,10134,0,0,49,148351,27553,729,15028,746,False,False,False,False,False,False
14,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,56,4,8,2,7134,0,0,25,93586,23606,401,6834,360,True,False,False,False,False,False
15,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,68,4,9,2,7936,0,0,17,122186,24304,515,12750,381,False,True,False,False,True,False
16,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,64,6,0,7,7740,0,0,15,75034,14027,0,9614,325,False,True,False,False,True,True
17,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,68,18,5,10,15026,0,1,25,192608,29697,652,30420,406,True,True,True,True,False,False
18,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,9,9,6,15,12171,0,0,53,165125,28427,746,25524,853,True,False,False,False,False,False
19,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,9,5,0,11,8877,0,0,33,140152,21380,0,13513,725,True,True,False,False,False,False
20,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,9,15,3,16,13675,0,0,46,154538,27723,542,23385,734,True,False,True,True,True,False
21,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,245,2,7,8,9016,0,0,25,165693,37059,792,11196,324,False,False,False,False,True,False
22,0,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,76,5,6,2,10391,0,0,26,170027,34243,852,11460,158,False,True,False,False,True,True
23,1,chJlp4BZDEqLRKfbcwwf3vrWX6QOuc9S5j45-cXlfahbVOLnOjmfjTf1,131,9,5,11,14766,0,2,39,296099,27837,621,29059,203,False,True,False,True,False,False
