,winloss,championPlayed,kills,deaths,assists
0,0,112,4,4,2
1,0,39,2,5,3
2,0,120,0,8,6
3,0,202,4,5,3
4,0,25,2,8,4
5,1,6,6,2,1
6,1,412,0,4,14
7,1,498,5,2,7
8,1,2,11,3,6
9,1,245,8,1,8
10,1,25,2,4,26
11,1,222,14,4,9
12,1,875,2,4,8
13,1,38,11,2,13
14,1,104,9,4,15
15,0,119,2,10,8
16,0,134,5,7,7
17,0,64,8,8,6
18,0,412,0,8,10
19,0,150,3,5,3
20,1,30,6,8,9
21,1,236,6,7,7
22,1,78,4,4,10
23,1,79,11,2,11
24,1,234,8,4,5
25,0,526,2,4,10
26,0,103,7,8,4
27,0,114,0,10,0
28,0,145,8,4,5
29,0,107,8,9,3
30,0,107,5,10,8
31,0,517,8,9,8
32,0,498,6,5,3
33,0,412,0,7,16
34,0,13,5,6,7
35,1,120,12,5,13
36,1,245,15,6,9
37,1,43,2,2,18
38,1,62,6,6,18
39,1,147,2,5,14
40,0,360,1,6,0
41,0,126,8,4,9
42,0,141,8,7,3
43,0,142,2,4,11
44,0,98,3,7,9
45,1,203,7,4,10
46,1,9,7,5,14
47,1,517,2,8,9
48,1,412,1,3,18
49,1,22,11,2,7
50,0,107,2,6,5
51,0,120,5,8,10
52,0,142,5,5,9
53,0,12,2,7,7
54,0,45,5,7,3
55,1,22,9,4,9
56,1,421,10,3,8
57,1,103,3,5,18
58,1,14,4,3,11
59,1,517,7,4,9
60,0,246,10,8,4
61,0,223,2,7,13
62,0,120,6,4,9
63,0,235,3,9,13
64,0,69,3,12,6
65,1,245,9,1,15
66,1,21,5,5,12
67,1,236,5,5,10
68,1,43,1,8,14
69,1,107,20,6,8
70,1,202,2,2,0
71,1,89,1,2,8
72,1,77,8,1,3
73,1,18,2,2,0
74,1,13,3,1,8
75,0,115,3,3,1
76,0,150,2,3,1
77,0,236,1,5,1
78,0,25,1,3,4
79,0,412,1,2,3
80,1,222,2,1,12
81,1,876,8,1,9
82,1,254,10,0,15
83,1,432,1,3,20
84,1,8,9,4,7
85,0,164,2,5,1
86,0,107,4,7,3
87,0,497,0,5,5
88,0,498,0,7,3
89,0,142,3,6,1
90,1,51,11,2,6
91,1,99,8,2,14
92,1,157,6,3,3
93,1,78,3,1,4
94,1,30,4,2,12
95,0,39,6,11,0
96,0,147,0,4,3
97,0,75,2,5,0
98,0,235,2,8,3
99,0,876,0,4,3
100,0,91,0,5,1
101,0,523,1,6,5
102,0,43,3,7,5
103,0,69,4,5,1
104,0,2,6,8,6
105,1,876,7,2,10
106,1,89,1,3,12
107,1,79,7,2,5
108,1,777,11,2,1
109,1,429,5,5,7
110,0,203,4,9,2
111,0,81,3,10,2
112,0,142,0,3,5
113,0,40,3,4,5
114,0,14,0,5,3
115,1,58,10,2,4
116,1,498,7,2,10
117,1,245,9,0,7
118,1,777,4,2,9
119,1,412,1,4,13
120,0,145,4,11,9
121,0,9,6,6,5
122,0,62,3,7,1
123,0,111,3,11,9
124,0,517,3,4,4
125,1,58,7,5,10
126,1,81,12,3,9
127,1,154,7,2,14
128,1,412,3,6,19
129,1,4,10,3,11
130,1,163,9,4,9
131,1,147,0,3,17
132,1,39,4,2,8
133,1,145,4,2,5
134,1,62,8,2,9
135,0,37,1,4,9
136,0,18,9,4,3
137,0,236,1,7,2
138,0,72,1,7,8
139,0,112,1,3,6
140,1,497,2,0,13
141,1,498,4,2,5
142,1,517,11,0,5
143,1,421,9,1,6
144,1,92,6,5,2
145,0,114,5,8,0
146,0,2,0,7,0
147,0,18,2,6,0
148,0,4,0,5,1
149,0,53,0,6,3
150,1,51,8,3,11
151,1,16,1,8,18
152,1,13,8,6,9
153,1,555,17,5,8
154,1,64,5,4,16
155,0,12,1,12,12
156,0,360,7,5,4
157,0,61,5,5,10
158,0,104,9,8,6
159,0,69,4,9,8
160,0,134,3,10,6
161,0,104,7,8,10
162,0,89,2,7,13
163,0,18,8,8,6
164,0,74,2,6,4
165,1,50,9,3,10
166,1,64,9,4,12
167,1,20,11,4,12
168,1,526,1,6,16
169,1,80,9,5,14
170,0,20,2,5,8
171,0,64,7,4,5
172,0,875,2,6,7
173,0,18,2,6,1
174,0,517,2,6,4
175,1,13,8,1,8
176,1,145,9,2,5
177,1,84,3,3,6
178,1,412,0,4,13
179,1,80,7,5,12
180,1,1,6,4,13
181,1,12,2,5,21
182,1,64,10,4,14
183,1,18,12,5,12
184,1,150,9,5,6
185,0,432,3,7,12
186,0,69,10,8,4
187,0,421,4,8,7
188,0,142,2,7,9
189,0,81,4,9,5
190,1,202,12,6,12
191,1,89,1,8,18
192,1,80,9,4,10
193,1,60,14,6,12
194,1,126,5,8,20
195,0,526,2,9,18
196,0,236,5,5,6
197,0,163,3,10,13
198,0,18,17,7,3
199,0,164,5,10,11
200,1,79,6,5,8
201,1,164,11,4,6
202,1,12,2,2,19
203,1,142,7,3,10
204,1,523,4,6,4
205,0,56,2,10,3
206,0,202,3,4,11
207,0,20,7,6,7
208,0,80,5,4,8
209,0,76,3,6,6
210,1,150,9,7,10
211,1,119,13,7,8
212,1,3,3,6,21
213,1,2,9,7,16
214,1,12,2,8,20
215,0,876,10,5,18
216,0,40,1,7,21
217,0,15,9,6,12
218,0,43,4,7,16
219,0,39,11,11,11
220,1,134,10,2,10
221,1,67,5,5,6
222,1,111,4,3,16
223,1,141,8,5,13
224,1,240,4,4,3
225,0,526,4,7,4
226,0,13,3,6,3
227,0,107,3,6,2
228,0,96,4,7,4
229,0,421,5,5,2
230,1,121,7,2,14
231,1,53,2,7,13
232,1,266,4,6,10
233,1,18,11,6,8
234,1,4,5,4,14
235,0,112,2,9,5
236,0,89,4,5,13
237,0,120,3,4,14
238,0,150,9,5,4
239,0,222,7,6,8
240,1,96,8,8,14
241,1,245,9,5,11
242,1,26,2,4,24
243,1,92,5,3,7
244,1,120,10,3,17
245,0,142,6,8,3
246,0,77,4,4,7
247,0,222,8,7,6
248,0,41,1,7,5
249,0,111,4,8,10
250,1,164,8,4,14
251,1,497,4,4,20
252,1,69,5,6,13
253,1,498,7,3,12
254,1,64,15,8,12
255,0,517,8,7,3
256,0,12,3,6,15
257,0,58,6,12,4
258,0,145,3,8,6
259,0,113,5,6,12
260,1,37,1,1,15
261,1,164,14,1,6
262,1,30,4,5,11
263,1,245,6,1,6
264,1,80,10,2,5
265,0,421,3,6,1
266,0,29,6,8,1
267,0,267,0,4,8
268,0,147,0,5,4
269,0,39,1,12,0
270,1,412,3,3,9
271,1,518,4,0,9
272,1,134,1,3,2
273,1,18,9,1,5
274,1,150,5,4,4
275,0,120,2,4,6
276,0,80,1,7,2
277,0,13,3,1,2
278,0,145,2,7,2
279,0,517,3,3,0
280,0,245,5,7,7
281,0,202,4,3,8
282,0,126,7,6,9
283,0,141,9,7,5
284,0,89,0,6,12
285,1,222,6,6,12
286,1,134,9,2,8
287,1,240,3,7,7
288,1,76,10,4,11
289,1,223,1,6,21
290,1,120,7,1,8
291,1,15,4,3,8
292,1,39,6,4,7
293,1,34,1,5,11
294,1,55,11,2,6
295,0,110,6,5,3
296,0,147,0,4,10
297,0,79,1,4,3
298,0,80,4,12,2
299,0,18,3,4,1
300,1,64,3,3,17
301,1,79,3,2,12
302,1,147,1,2,16
303,1,777,5,4,10
304,1,222,11,1,3
305,0,876,4,3,5
306,0,117,1,4,6
307,0,523,3,5,3
308,0,39,0,5,2
309,0,421,4,6,4
310,0,60,2,7,0
311,0,235,0,7,8
312,0,67,4,4,2
313,0,126,3,5,1
314,0,112,2,4,0
315,1,145,5,3,5
316,1,79,4,4,7
317,1,421,10,1,9
318,1,42,7,2,4
319,1,117,1,1,17
320,1,235,1,3,13
321,1,91,8,7,2
322,1,81,7,1,9
323,1,69,8,2,4
324,1,421,8,0,4
325,0,117,0,7,3
326,0,202,2,8,5
327,0,268,3,3,1
328,0,50,2,9,4
329,0,104,6,5,2
330,0,33,0,4,4
331,0,412,0,3,0
332,0,523,0,7,0
333,0,85,3,4,0
334,0,245,1,5,1
335,1,555,7,1,8
336,1,876,5,0,6
337,1,777,6,2,5
338,1,14,1,1,3
339,1,145,3,0,4
