,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
0,1,235,5,4,20,10538,0,0,79,"{'10-20': 0.8000000000000003, '0-10': 0.75}","{'10-20': 123.85000000000005, '0-10': 47.64999999999998}",1651
1,1,777,7,1,13,13674,0,1,21,"{'10-20': 0.10000000000000009, '0-10': 1.5}","{'10-20': 187.89999999999998, '0-10': 85.30000000000001}",1651
2,1,131,11,4,6,13810,2,2,32,"{'10-20': -0.49999999999999994, '0-10': -0.7}","{'10-20': 103.69999999999999, '0-10': -57.29999999999998}",1651
3,1,68,7,9,4,9904,0,0,19,"{'10-20': -2.9, '0-10': -1.3000000000000003}","{'10-20': -112.1, '0-10': 26.00000000000003}",1651
4,1,51,6,1,10,12643,0,6,23,"{'10-20': 0.8000000000000003, '0-10': 0.75}","{'10-20': 123.85000000000005, '0-10': 47.64999999999998}",1651
5,0,126,10,10,2,13384,0,2,21,"{'10-20': 2.9, '0-10': 1.3000000000000003}","{'10-20': 112.1, '0-10': -26.00000000000003}",1651
6,0,91,3,6,4,10268,0,1,19,"{'10-20': -0.10000000000000009, '0-10': -1.5}","{'10-20': -187.89999999999998, '0-10': -85.30000000000001}",1651
7,0,43,0,7,7,6144,0,0,63,"{'10-20': -0.8000000000000003, '0-10': -0.75}","{'10-20': -123.85000000000005, '0-10': -47.64999999999998}",1651
8,0,30,1,8,9,9192,0,0,26,"{'10-20': 0.49999999999999994, '0-10': 0.7}","{'10-20': -103.69999999999999, '0-10': 57.29999999999998}",1651
9,0,81,5,5,5,9725,0,0,21,"{'10-20': -0.8000000000000003, '0-10': -0.75}","{'10-20': -123.85000000000005, '0-10': -47.64999999999998}",1651
10,1,35,10,1,11,10589,0,1,21,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
11,1,236,6,3,2,7979,0,0,22,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
12,1,89,6,3,13,6831,0,0,36,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
13,1,222,5,3,6,8613,0,2,21,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
14,1,518,5,2,6,8794,0,2,8,{'0-10': 0.7199999999999998},{'0-10': 69.26000000000002},1171
15,0,81,6,4,0,8774,0,0,15,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
16,0,350,0,2,4,4641,0,0,22,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
17,0,126,0,10,4,6172,0,0,14,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
18,0,134,1,6,0,6125,0,0,11,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
19,0,141,4,10,1,6969,0,0,9,{'0-10': -0.7199999999999998},{'0-10': -69.26000000000002},1171
20,1,81,7,3,14,12967,1,4,12,"{'10-20': 0.09999999999999964, '0-10': -1.8}","{'10-20': 18.599999999999966, '0-10': -1.1499999999999915}",1634
21,1,84,6,7,9,11231,0,0,18,"{'10-20': 0.20000000000000018, '0-10': -0.7999999999999994}","{'10-20': -22.200000000000017, '0-10': -39.89999999999995}",1634
22,1,104,13,3,5,14653,0,2,27,"{'10-20': 0.1, '0-10': 1.8}","{'10-20': 84.79999999999995, '0-10': -4.5}",1634
23,1,432,3,5,17,8218,0,0,82,"{'10-20': 0.09999999999999964, '0-10': -1.8}","{'10-20': 18.599999999999966, '0-10': -1.1499999999999915}",1634
