,winloss,playerId,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,totalDamageDealt,totalDamageTaken,longestTimeSpentLiving,totalDamageDealtToChampions,totalTimeCrowdControlDealt,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,1,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,4,5,4,9714,0,1,17,146075,15298,272,16154,152,True,False,False,False,True,False
1,1,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,4,1,10,9668,1,0,14,113719,8541,341,13414,147,False,True,True,False,True,True
2,1,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,266,12,3,12,15119,0,2,31,182038,52450,879,39448,166,False,False,True,True,False,False
3,0,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,79,2,10,4,10204,0,0,25,131415,30078,299,17103,438,False,False,False,True,True,False
4,1,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,79,3,2,6,5458,0,0,7,43638,10867,783,8112,214,True,True,False,False,True,False
5,0,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,1,6,0,6180,0,0,9,79134,14934,465,11929,93,False,False,False,False,True,False
6,0,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,4,5,0,8511,0,0,18,100814,13152,480,12816,133,False,False,False,False,True,False
7,1,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,79,6,3,5,8125,0,0,18,81583,17781,825,11456,304,False,True,False,False,False,False
8,1,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,518,0,5,13,12138,0,1,31,170918,21221,500,20913,236,True,True,False,True,True,True
9,0,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,10,10,2,13384,0,2,21,152800,26094,323,22698,116,True,False,False,False,False,False
10,0,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,0,10,4,6172,0,0,14,72546,18198,346,13830,102,False,False,False,False,False,False
11,0,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,10,7,6,13271,0,1,21,161262,19876,486,31226,169,False,False,False,False,True,False
12,1,5LNRBcppKCZV8x12uakfUgR8cBbwsUazAIHPzX7zbEm2sw,126,10,2,4,12367,0,3,25,159838,12267,477,22430,176,True,True,False,False,True,True
