,winloss,playerId,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,totalDamageDealt,totalDamageTaken,longestTimeSpentLiving,totalDamageDealtToChampions,totalTimeCrowdControlDealt,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,3,7,4,8302,0,0,24,94159,22555,471,10430,105,False,False,False,False,False,False
1,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,11,4,3,16319,1,6,15,207332,27727,826,30057,187,True,True,False,True,False,True
2,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,3,8,8,7010,0,0,19,65854,11670,214,8116,70,False,False,False,False,True,False
3,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,0,5,0,4611,0,0,8,36758,7780,544,3300,32,False,False,False,False,False,True
4,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,114,7,2,2,9612,0,1,17,77685,16468,700,12123,66,False,True,False,False,False,True
5,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,4,1,3,7546,0,0,17,65622,7387,661,6782,98,True,False,False,False,False,False
6,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,114,0,7,0,2927,0,0,4,13735,8278,231,4875,22,False,False,False,False,False,False
7,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,9,2,13,16787,1,2,41,203256,21445,1323,19761,178,True,True,True,True,False,True
8,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,41,5,3,11,13965,1,2,27,179359,24979,1036,20267,307,True,True,True,True,False,False
9,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,164,3,5,4,8275,0,0,16,81163,15880,646,13062,140,True,True,False,False,False,True
10,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,518,2,2,7,8941,0,0,12,103266,14176,731,11361,194,True,False,True,True,True,True
11,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,8,2,7,11124,0,2,22,121512,18966,662,18564,100,True,False,True,True,True,True
12,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,2,1,0,5376,0,0,11,38969,5814,387,4188,55,True,True,False,False,True,False
13,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,5,6,7,11919,0,0,31,125686,21003,508,14823,127,True,False,False,True,False,False
14,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,62,5,8,4,9377,0,1,16,66110,23031,258,14707,22,False,False,True,True,True,False
15,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,2,2,6,9627,1,0,16,98956,14999,675,7325,99,False,True,True,True,False,True
16,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,58,2,1,2,7358,0,2,8,68291,9364,804,7552,17,True,True,False,False,True,True
17,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,164,2,8,1,6855,0,1,1,56915,11873,314,7378,88,True,False,False,False,False,False
18,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,64,3,6,9,10359,1,1,20,97546,19370,531,13178,198,True,True,True,True,True,True
19,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,15,2,10,16886,0,2,20,178368,31397,695,38500,192,True,False,True,True,True,False
20,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,3,8,4,9067,0,0,10,112204,22364,254,13123,102,False,False,False,False,False,False
21,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,64,1,6,1,5866,0,0,8,61349,14671,446,8826,183,False,False,False,False,True,False
22,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,2,4,4,9106,0,1,15,86843,9509,585,7094,63,True,False,False,False,True,False
23,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,64,2,5,1,4073,0,0,7,21325,7498,222,4293,27,True,False,False,False,False,False
24,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,2,1,0,5303,0,0,6,25975,3260,145,4048,31,False,False,False,False,False,False
25,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,0,1,0,1711,0,0,0,4504,1999,265,1280,10,False,False,False,False,False,False
26,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,64,4,5,15,9408,0,0,8,75831,21558,647,12519,249,False,True,True,True,True,True
27,0,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,8,9,1,13349,0,1,33,116725,30067,308,12198,156,True,True,True,False,False,True
28,1,wbJK1atWnJtKp0S1epKgaZedUt2kVy8OM7K2d1uZHzTui84,92,8,6,6,11456,0,2,24,89034,22839,297,18082,95,True,True,True,True,True,True
